nct_id,enrollment_log,start_year,pre_semaglutide_era,post_semaglutide_era,phase_Unknown,phase_PHASE4,is_obesity,is_t2d,is_weight_loss,exc_count,criteria_total_len,mentions_bmi,mentions_contraindication,mentions_renal_cutoff,high_risk_term_count,risk_ratio,year_x_enrollment,enrollment_log_x_phase_Unknown,label
NCT02964780,4.51085950651685,2016.0,1,0,0,0,1,0,1,0,828,1,0,0,1,1.0,9093.892765137967,0.0,0
NCT00694811,5.135798437050262,2004.0,1,0,0,0,1,0,1,0,221,1,0,0,1,0.3333333333333333,10292.140067848724,0.0,0
NCT05541237,5.303304908059076,2022.0,0,1,0,0,0,1,0,0,2461,1,0,0,6,6.0,10723.282524095452,0.0,0
NCT04891887,5.099866427824199,2016.0,1,0,0,0,0,0,0,0,328,0,0,0,0,0.0,10281.330718493584,0.0,0
NCT00597350,2.19722457733622,2007.0,1,0,0,0,0,0,0,0,404,0,0,0,0,0.0,4409.829726713792,0.0,0
NCT00964184,4.897839799950911,2009.0,1,0,0,0,0,0,0,0,1058,1,0,0,1,0.5,9839.76015810138,0.0,0
NCT05218915,4.564348191467836,2022.0,0,1,0,0,0,0,0,0,2743,1,0,0,1,1.0,9229.112043147965,0.0,0
NCT05587348,3.49650756146648,2023.0,0,1,0,0,0,0,0,0,485,0,0,0,0,0.0,7073.434796846689,0.0,0
NCT04225455,2.8903717578961645,2019.0,0,1,0,0,0,0,0,0,488,0,0,0,0,0.0,5835.660579192356,0.0,0
NCT02868177,4.204692619390966,2016.0,1,0,0,0,1,1,0,0,6442,0,0,0,1,0.5,8476.660320692186,0.0,0
NCT03145649,4.574710978503383,2010.0,1,0,0,0,0,0,0,0,548,0,0,0,0,0.0,9195.1690667918,0.0,0
NCT00605020,6.579251212010101,2003.0,1,0,0,0,0,0,0,0,1165,1,0,0,0,0.0,13178.240177656233,0.0,0
NCT01991795,9.866408544294709,2014.0,1,0,0,0,0,0,0,0,914,0,0,0,1,1.0,19870.94680820954,0.0,0
NCT00168519,3.713572066704308,2002.0,1,0,0,0,0,0,0,0,447,1,0,0,0,0.0,7434.571277542024,0.0,0
NCT04126239,7.384610383176974,2019.0,0,1,0,0,1,0,0,0,128,1,0,0,0,0.0,14909.52836363431,0.0,0
NCT00906919,5.7745515455444085,2004.0,1,0,0,0,0,0,0,0,118,0,0,0,0,0.0,11572.201297270994,0.0,0
NCT03538210,6.042632833682381,2018.0,0,1,0,0,1,0,0,0,652,1,0,0,1,1.0,12194.033058371046,0.0,0
